Sat Jan 17 14:15:13 2026    artifacts\perf\profile.pstats

         943504 function calls (912745 primitive calls) in 3.526 seconds

   Ordered by: cumulative time
   List reduced from 6421 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1179/1    0.034    0.000    3.527    3.527 {built-in method builtins.exec}
        1    0.000    0.000    3.527    3.527 scripts\perf_snapshot.py:1(<module>)
   1166/5    0.011    0.000    3.383    0.677 <frozen importlib._bootstrap>:1349(_find_and_load)
    935/5    0.004    0.000    3.382    0.676 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    905/7    0.003    0.000    3.378    0.483 <frozen importlib._bootstrap>:911(_load_unlocked)
    838/6    0.003    0.000    3.378    0.563 <frozen importlib._bootstrap_external>:989(exec_module)
  2109/14    0.004    0.000    3.377    0.241 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   226/21    0.001    0.000    3.289    0.157 {built-in method builtins.__import__}
   729/68    0.001    0.000    3.245    0.048 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    3.232    3.232 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\custom_components\inverter_charge_night\__init__.py:1(<module>)
        1    0.000    0.000    3.227    3.227 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\config_entries.py:1(<module>)
        1    0.000    0.000    3.083    3.083 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\components\persistent_notification\__init__.py:1(<module>)
        1    0.000    0.000    3.081    3.081 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\components\websocket_api\__init__.py:1(<module>)
        1    0.000    0.000    2.240    2.240 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\components\websocket_api\http.py:1(<module>)
        1    0.000    0.000    2.237    2.237 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\components\http\__init__.py:1(<module>)
      213    1.885    0.009    1.885    0.009 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        5    0.000    0.000    1.543    0.309 C:\Python312\Lib\ssl.py:682(create_default_context)
        1    0.000    0.000    1.469    1.469 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\util\ssl.py:1(<module>)
        4    0.000    0.000    1.467    0.367 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\util\ssl.py:85(_client_context)
        1    0.000    0.000    0.719    0.719 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\helpers\network.py:1(<module>)
        1    0.000    0.000    0.716    0.716 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\hass_nabucasa\__init__.py:1(<module>)
        1    0.000    0.000    0.661    0.661 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\hass_nabucasa\auth.py:1(<module>)
        1    0.001    0.001    0.459    0.459 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\helpers\config_validation.py:1(<module>)
        1    0.000    0.000    0.415    0.415 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\helpers\script_variables.py:1(<module>)
        1    0.000    0.000    0.414    0.414 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\helpers\template.py:1(<module>)
        1    0.000    0.000    0.407    0.407 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\pycognito\__init__.py:1(<module>)
        1    0.000    0.000    0.403    0.403 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\requests\__init__.py:1(<module>)
      838    0.010    0.000    0.392    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.380    0.380 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\homeassistant\components\websocket_api\commands.py:1(<module>)
        1    0.000    0.000    0.374    0.374 C:\SynologyDrive\Eigene Dateien\Dokumente\###Onedrive\Software\Cursor\InverterChargeNight\.venv\Lib\site-packages\requests\api.py:1(<module>)


